Date Added,Bean ID #,Roaster,Roast Name,General Tags,Roast Degree,Origins,Regions,Producer Info,Elevation (MASL),Varietals,Process,Processing Tags,Price/Bag,Gram/Bag,Retail Price/Cup (20g),Bulk Price/Cup (20g),Roaster Region,Roaster Country,Tasting Notes,General Tasting Notes,Link,Available?
9/23/2024,6969,Archers Coffee,Ethiopia Arbegona Washed,"Single Origin, Single Varietal, Traceable, Cupping Score",Omni,Ethiopia,"Arbegona, Sidama","Eliyas Dukamo & Atiklit Dejene, Elto Coffee, Arbegona Village","2,400.00",74158,Washed,Washed,$8.98,100,$1.80,$1.03,EMEA,UAE,"Lemon Grass, Bergamot, Earlgrey, Jasmine, Apricot","Citrus Fruit, Stone Fruit, Tea Like, Floral",https://archerscoffee.com/collections/coffee/products/ethiopia-arbegona-washed,YES
9/23/2024,6968,Substance Cafe,Panama El Burro Estate Lot 17 Geisha ,"Single Origin, Single Varietal, Traceable",-,Panama,"Alto Quiel, Boquete","Lamastus Family, El Burro Estate","1,575 - 2,000",Geisha,Washed,Washed,$47.78,100,$9.56,$9.56,EMEA,France,-,-,https://www.substancecafe.com/index.php/product/panama-el-burro-estate-lot-17-geisha/,YES
9/23/2024,6967,One Half Coffee,Ethiopia Nensenbo Mewa Washed ,"Single Origin, Traceable",Filter,Ethiopia,"Sidamo, West Arsi","Negusse Debela, SNAP Coffee, Nensebo Woreda, Refisa Washing Station","2,000.00","74110, 74112",Washed,Washed,$17.84,350,$1.02,$0.83,APAC,Malaysia,"Lily Florals, Honey, Fresh Orange, Juicy","Floral, Sweet, Tropical Fruit, Citrus Fruit",https://onehalfcoffee.com/product/ethiopia-nensenbo-mewa-washed/,YES
9/23/2024,6966,LiLo Coffee Roasters,【Kissa】CHINA Yunnan SILANJIA Triple Fermentation Natural,"Single Origin, Traceable",Medium,China,"Pu'Er, Yunnan",SILANJIA Coffee Farm,1300 - 1650,"Catimor, Typica, Bourbon",Triple Fermentation Natural,"Multi-Stage Fermentation, Natural",$15.32,200,$1.53,$1.53,APAC,Japan,"Fig, Dried Orange, Oolong Tea, Grape Juice, Bourbon Whiskey","Common Fruit, Dried Fruit, Tea Like, Tropical Fruit, Citrus Fruit, Fermented",https://coffee.liloinveve.com/collections/coffee/products/kissa-china-yunnan-silanjia-triple-fermentation-natural,YES
9/23/2024,6965,Doubleshot,Honduras Sagastume,"Single Origin, Single Varietal, Traceable",-,Honduras,"El Sauce, Santa Barbara","Esmelin Sagastume Family, Los Potreros","1,600 - 1,700",Parainema,Fully Washed,"Washed, Dried on Raised Beds",$17.03,300,$1.14,$1.10,EMEA,Czech Republic,Fruity Elegant,"Clean, Common Fruit",https://www.doubleshot.cz/en/products/honduras-sagastume,YES
9/23/2024,6964,Rogue Wave Coffee Co,Myanmar Pao Lot 110 Catuai Pulped Natural Honey,"Single Origin, Traceable",Omni,Myanmar,Pinlaung,Pa-O Village Farms,1500 - 1600,Catuai & Misc Varietals,Pulped Natural Honey,"Natural, Honey",$17.00,340,$1.00,$0.90,NA,Canada,"Lemon, Herbal, Blackcurrant, Cedar, Caramel","Berries, Caramel, Sweet, Nutty, Citrus Fruit, Herbal, Earthy",https://roguewavecoffee.ca/products/myanmar-pao-lot-110-catuai-pulped-natural-honey,YES
9/23/2024,6963,Rogue Wave Coffee Co,Myanmar Behind The Leaf Lot 293 Syrina Anaerobic Koji Natural,"Single Origin, Single Varietal, Traceable",Omni,Myanmar,Pinlaung,Behind The Leaf Farm,"1,600.00",Syrina,Anaerobic Koji Natural,"Natural, Anaerobic Fermentation, Koji Inoculated, Inoculated",$19.50,340,$1.15,$1.04,NA,Canada,"Blueberry, Kiwi, Grape Juice, Floral, Cherry","Berries, Common Fruit, Floral",https://roguewavecoffee.ca/products/myanmar-behind-the-leaf-lot-293-syrina-anaerobic-koji-natural,YES
9/23/2024,6962,One Half Coffee,Ethiopia Nensenbo Mewa Anaerobic Natural ,"Single Origin, Traceable",Filter,Ethiopia,"Sidamo, West Arsi","Negusse Debela, SNAP Coffee, Nensebo Woreda, Refisa Washing Station","2,000.00","74110, 74112, 74158",Anaerobic Natural,"Natural, Anaerobic Fermentation",$19.03,200,$1.90,$1.90,APAC,Malaysia,"Blueberry, Blackberry, Jackfruit, Tangerine","Berries, Citrus Fruit, Tropical Fruit",https://onehalfcoffee.com/product/ethiopia-nensenbo-mewa-anaerobic-natural/,YES
9/23/2024,6961,One Half Coffee,Ethiopia Arbegona Washed ,"Single Origin, Single Varietal, Traceable",Filter,Ethiopia,Sidama,helena georgialis,"1,720.00",74112,Washed,Washed,$16.65,200,$1.67,$1.67,APAC,Malaysia,"Lemongrass, Redcurrant, Citrus, Earl Grey","Citrus Fruit, Herbal, Vegetal, Tea Like, Berries",https://onehalfcoffee.com/product/ethiopia-arbegona-washed/,YES
9/23/2024,6960,One Half Coffee,Ethiopia Alo Sky Project Tim Washed ,"Single Origin, Single Varietal, Traceable",Filter,Ethiopia,Sidama Bensa,"Tamiru Tadesse, Alo Coffee","2,400.00",74158,Tim (Terroir Intensified Maceration) Washed,"Washed, Anaerobic Fermentation",$27.36,100,$5.47,$5.47,APAC,Malaysia,"Osmanthus, Shine Muscat, Nectarine, Taiwan Oolong","Floral, Spiced, Fermented, Herbal, Tea Like, Stone Fruit",https://onehalfcoffee.com/product/ethiopia-alo-sky-project-tim-washed/,YES
9/23/2024,6959,Square Mile Coffee Roasters,Kilimanjaro Cascara Esp,"Single Origin, Traceable","Espresso, Light",El Salvador,"Chalchuapa, Santa Ana","Aida Batlle, Finca Buenos Aires",1580 - 1720,"Bourbon, Kenia",Cascara Washed,"Washed, Cofermentation",$45.37,350,$2.59,$2.59,EMEA,United Kingdom,"Raspberry, Toffee, Velvety","Berries, Caramel, Creamy",https://shop.squaremilecoffee.com/products/kilimanjaro-cascara-esp,CHECK LINK
9/23/2024,6958,Ritual Coffee Roasters,Equinox Seasonal Espresso ,"Roaster Blend, Traceable",Espresso,"Ethiopia, Ethiopia",-,"Faysel Abdosh & Hakime Yonis, Testi Coffee, Aricha Station, Aleta Wondo",-,"Ethiopian Landraces, Ethiopian Heirlooms",Washed,Washed,$21.50,340,$1.26,$1.14,NA,USA,"Honeydew Melon, Black Tea, Lilac","Floral, Common Fruit, Tea Like, Tropical Fruit",https://ritualcoffee.com/shop/coffee/equinox-seasonal-espresso/,YES
9/23/2024,6957,Raw Sugar Roast,Ethiopia | Worka Sakoro Natural,"Single Origin, Traceable",Filter,Ethiopia,Yirgacheffe,Multiple smallholder farmers,1990 - 2000,Ethiopian Heirlooms,Nautral,Dried on Raised Beds,$9.05,100,$1.81,$1.81,APAC,Japan,Complex Aroma That Is Typical Of Ethiopia And A Herbal Aroma,"Complex, Herbal, Fermented",https://rawsugar.base.shop/items/85408303,YES
9/23/2024,6956,Proud Mary Coffee Melbourne,El Salvador La Esperanza El Cascajal Pacamara Natural Espresso 250G,"Single Origin, Single Varietal, Traceable",Espresso,El Salvador,"Cerro Verde, Santa Ana","Pacas Family, Finca La Esperanza","1,355.00",Pacamara,Nautral,#N/A,$29.00,250,$2.32,$1.62,APAC,Australia,"Raspberry, Black Plum, Dark Chocolate","Berries, Chocolate, Stone Fruit",https://www.proudmarycoffee.com.au/collections/coffee/products/el-salvador-la-esperanza-el-cascajal-pacamara-natural-espresso-250g,YES
9/23/2024,6955,ONA Coffee,"Finca Picaflor, Bolivia, Washed","Single Origin, Single Varietal, Traceable",Filter,Bolivia,Uchumachi,"Juan Carlos Mamani, Finca Picaflor","1,500.00",Geisha,Washed,Washed,$12.99,200,$1.30,$1.13,APAC,Australia,"Apple, Plum And Floral","Common Fruit, Floral, Stone Fruit",https://onacoffee.com.au/products/filter-z-sof1,YES
9/23/2024,6954,Manta Ray Coffee Roasters,Kenya Gichathaini Washed Single Origin Filter,"Single Origin, Traceable",Filter,Kenya,Nyeri,"Gikanda Farmers Cooperative Society, Gichathaini Factory",1600 - 1900,"Sl28,Sl34, Ruiru 11 & Batian",Washed,Washed,$16.07,200,$1.61,$1.18,APAC,Australia,"Floral, Star Fruit, Finger Lime","Citrus Fruit, Sweet, Floral, Common Fruit, Tropical Fruit",https://mantaraycoffee.com.au/collections/our-coffee/products/kenya-gichathaini-washed-single-origin-filter,YES
9/23/2024,6953,Manta Ray Coffee Roasters,Ethiopia Halaka Guji Honey Single Origin Filter,"Single Origin, Traceable",Filter,Ethiopia,"Guji, Halaka",Gizaw Alemayehu,"2,150.00",Ethiopian Heirlooms,Honey,"Honey, Extended Fermentation",$16.07,200,$1.61,$1.18,APAC,Australia,"Floral, Loquat, Honeydew, Raspberry Liquorice","Berries, Citrus Fruit, Floral, Common Fruit, Herbal, Sweet",https://mantaraycoffee.com.au/collections/our-coffee/products/ethiopia-halaka-guji-honey-single-origin-filter,YES
9/23/2024,6952,Loveless Coffees,Finca La Cabana Washed Yellow Bourbon Huila Colombia,"Single Origin, Single Varietal, Traceable, Cost Transparent",-,Colombia,Huila,Finca La Cabaña,-,Yellow Bourbon,Washed,Washed,$24.00,312,$1.54,$0.97,NA,USA,Delicate Flavors Of Pear And Ripe Dried Mango Sugar Cookie On The Finish,"Dried Fruit, Floral, Tea Like, Common Fruit, Sweet, Tropical Fruit, Stone Fruit",https://lovelesscoffees.coffee/products/finca-la-cabana-washed-yellow-bourbon-huila-colombia,YES
9/23/2024,6951,Dayglow Coffee,C04,"Single Origin, Traceable",Filter,Mexico,Oaxaca,Multiple smallholder farmers in San Pedro Sochiapam,-,"Pluma, Typica, Bourbon, Mundo Novo",Washed,"Washed, Hand Sorted, Dried on Patio, Floated, Sun-Dried",$24.00,250,$1.92,$1.92,NA,USA,A Creamy Sweet Coffee With Silky Notes Of Cajeta And Dates With A Nutty Mazapán Finish,"Creamy, Sweet, Dried Fruit, Nutty, Fermented",https://dayglow.coffee/products/c04,YES
9/23/2024,6950,Coffee County,Rwanda Gishamvu FW,"Single Origin, Single Varietal, Traceable",Light,Rwanda,"Nyumba, Gishamvu, Southern Province","David Ruban Sangabo, Huye Mountain Coffee, Gishamvu area",1700 - 1900,Bourbon,Fully Washed,Washed,$15.32,200,$1.53,$1.39,APAC,Japan,"Floral, Meyer Lemon, Plum, Apricot, Pomegranate, Brown Sugar, Smooth Mouthfeel, Black Tea","Balanced, Common Fruit, Caramel, Citrus Fruit, Creamy, Floral, Stone Fruit, Sweet, Tea Like, Berries",https://shop.coffeecounty.cc?pid=161806914,YES
9/21/2024,6949,Thankfully Coffee,Colombia - Gildardo Lopez (Extra Light),"Single Origin, Single Varietal, Traceable",-,Colombia,"El Carmen, Paicol, Huila","Gildardo López Hoyos, Finca Calamar","1,950 - 2,000",Pink Bourbon,Washed,Washed,$24.00,200,$2.40,$2.40,NA,USA,"Super Clean Cup, With A More Intense Lime-Forward Acidity, Along With A More Subtle Red Fruit Spectrum","Clean, Complex, Common Fruit, Fermented",https://www.thankfullycoffee.com/s/order?shipping=true&item=25#items,YES
9/21/2024,6948,Crankhouse Coffee,El Fenix Anoxic Tabi,"Single Origin, Single Varietal, Traceable",-,Colombia,Quindio,"Miguel Fajardo, El Fenix",-,Tabi,Anoxic Washed,"Washed, Anoxic Fermentation, Dried on Raised Beds, Sun-Dried",$17.35,250,$1.39,$1.28,EMEA,United Kingdom,"Blackberry, Apple And Lime Cordial","Berries, Citrus Fruit, Common Fruit, Sweet",https://www.crankhousecoffee.co.uk/products/el-fenix-anoxic-tabi,YES
9/21/2024,6947,Crankhouse Coffee,El Fenix Maracuya Infused Tabi,"Single Origin, Single Varietal, Traceable",-,Colombia,Quindio,"Miguel Fajardo, El Fenix",-,Tabi,Maracuya Infused Anoxic Washed,"Washed, Anoxic Fermentation, Dried on Raised Beds, Sun-Dried, Infused",$21.35,250,$1.71,$1.71,EMEA,United Kingdom,"Passionfruit, Honeydew Melon, Raspberry","Berries, Common Fruit, Tropical Fruit",https://www.crankhousecoffee.co.uk/products/el-fenix-maracuya-infused-tabi,YES
9/21/2024,6946,Crankhouse Coffee,El Fenix Infused Plus Mosto Tabi,"Single Origin, Single Varietal, Traceable",-,Colombia,Quindio,"Miguel Fajardo, El Fenix",-,Tabi,Anoxic Washed 'Maracuya And Mango Infused With Added Mosto' ,"Washed, Anoxic Fermentation, Infused, Dried on Raised Beds, Mossto Inoculated, Sun-Dried, Cofermentation, Multi-Stage Fermentation",$24.02,250,$1.92,$1.81,EMEA,United Kingdom,"Stewed Apple, Prune And Kefir","Common Fruit, Dried Fruit",https://www.crankhousecoffee.co.uk/products/el-fenix-infused-plus-mosto-tabi,YES
9/21/2024,6945,Little Wolf Coffee Roasters,Santiago Caro,"Single Origin, Single Varietal, Traceable",-,Colombia,Urrao,"Santiago Caro, La Falda","1,930.00",Caturra Chiroso,Extended Fermentation Washed,"Washed, Extended Fermentation",$18.50,227,$1.63,$1.32,NA,USA,"Panela, Black Cherry, Creamy","Berries, Caramel, Sweet, Creamy",https://littlewolf.coffee/collections/coffee/products/santiago-caro-1,YES
9/21/2024,6944,Sweet Bloom Coffee,Sacuanjoche ,"Single Origin, Single Varietal, Traceable, Cost Transparent",Omni,Nicaragua,Jinotega,Multiple smallholder farmers,1100 - 1500,Javanica,Washed,Washed,$22.50,340,$1.32,$1.19,NA,USA,"Honeycrisp, White Grape, Caramel","Common Fruit, Caramel, Sweet, Nutty",https://sweetbloomcoffee.com/product/sacuanjoche/,YES
9/21/2024,6943,Sweet Bloom Coffee,Luisa Siles ,"Single Origin, Traceable, Cost Transparent",Omni,Nicaragua,Jinotega,Luisa Siles,"1,300.00","Caturra, Maragohype, Maracaturra",Honey,Honey,$22.50,340,$1.32,$1.19,NA,USA,"Mission Fig, Plum, Chocolate","Common Fruit, Chocolate, Stone Fruit",https://sweetbloomcoffee.com/product/luisa-siles/,YES
9/21/2024,6942,Nylon Coffee Roasters,El Salvador El Corozo,"Single Origin, Single Varietal, Traceable",Espresso,El Salvador,"Palo De Campana, Santa Ana","Federico Pacas Lopez, El Corozo",1650 - 1900,Pacas,Natural,"Natural, Dried on Raised Beds",$17.82,300,$1.19,$1.01,APAC,Singapore,"Dried Tropical Fruits, Golden Raisins, Hazelnut","Dried Fruit, Common Fruit, Nutty, Tropical Fruit",https://nylon.coffee/shop/el-salvador-el-corozo,YES
9/21/2024,6941,Hatch Specialty Coffee,Finca Soledad Sydra Oxidator Washed,"Single Origin, Single Varietal, Traceable",Omni,Ecuador,"Intag Valley, Imbabura","Pepe Jijon (Jose Ignacio Jijon), Finca Soledad","1,515.00",Sydra,Oxidator Washed,"Washed, Multi-Stage Fermentation",$44.35,200,$4.43,$4.43,NA,Canada,"Tangerine, Apple, Red Currant, White Tea","Berries, Citrus Fruit, Tropical Fruit, Common Fruit, Tea Like",https://www.hatchcrafted.com/shop/finca-soledad-sydra-oxidator-washed,YES
9/21/2024,6940,Townsfolk Coffee,Chelchele washed 200g ,"Single Origin, Traceable",Filter,Ethiopia,Yirgacheffe,"Shitaye Abebe, Chelchele Washing Station",1945 - 1970,Ethiopian Heirlooms,Washed,"Washed, Shade-Dried",$13.93,200,$1.39,$1.39,APAC,Japan,"Earlgrey, Silky Mouthfeel, Lemon, Delicate","Citrus Fruit, Creamy, Floral, Tea Like",https://townsfolkcoffee.shop/items/66e8337c16b7bc7bdee34c91,YES
9/21/2024,6939,SW Craft Roasting,Ecuador Pichincha Galo Morales Washed Mejorado,"Single Origin, Single Varietal, Traceable",Omni,Ecuador,"San Jose De Minas, Pichincha","Familia Morales Rivera, Galo Fernando Morales Rivera, Finca Cruz Loma","1,450.00",Typica Mejorado,Washed,Washed,$11.24,100,$2.25,$2.25,NA,USA,"Blood Orange Sherbet, Rose, And Hibiscus Huge Body And Very Bright","Complex, Creamy, Floral, Sweet, Tropical Fruit, Citrus Fruit",https://www.swroasting.coffee/product/ecuador-pichincha-galo-morales-washed-mejorado/65?cp=true&sa=true&sbp=true&q=false,YES
9/21/2024,6938,Prolog Coffee,El Cortijo Caturra Washed,"Single Origin, Single Varietal, Traceable",Omni,Colombia,"Buesaco, Nariño"," José Salas, José Paz, José Pusil, and Carlos Pinta, El Cortijo",2100 - 2300,Caturra,Washed,"Washed, Dried on Raised Beds",$20.00,250,$1.60,$1.44,EMEA,Denmark,"Orange, Red Apple, And Sugar Cane","Common Fruit, Sweet, Tropical Fruit, Citrus Fruit",https://www.prologcoffee.com/collections/buy-our-coffee/products/el-cortijo-caturra-washed,YES
9/21/2024,6937,Prolog Coffee,Aponte Caturra Natural,"Single Origin, Single Varietal, Traceable",Omni,Colombia,Nariño,"Inga Community, Aponte","2,150.00",Caturra,Natural,"Natural, Honey, Mechanically Dried",$22.00,250,$1.76,$1.60,EMEA,Denmark,"Raspberry, Pineapple, Winey","Berries, Tropical Fruit, Fermented",https://www.prologcoffee.com/collections/buy-our-coffee/products/aponte-caturra-natural,YES
9/21/2024,6936,Onibus Coffee,Guatemala / Terrazas,"Single Origin, Single Varietal, Traceable",Filter,Guatemala,"La Libertad, Huehuetenango","El Puente, Terrazas Farm","1,850.00",Caturra,Washed,"Washed, Hand Sorted, Dried on Patio",$12.00,100,$2.40,$1.32,APAC,Japan,"Apple, Grapefruit, Hazelnut, Cane Sugar","Citrus Fruit, Common Fruit, Nutty, Sweet",https://onibuscoffee.com/products/guatemala-terrazas,YES
9/21/2024,6935,Obadiah Coffee Roasters,Aquiares Estate,"Single Origin, Single Varietal, Traceable",Omni,Mexico,Oaxaca,Enrique Lopėz,1600 - 1750,Geisha,Hydro Washed,"Washed, Floated, Hydro (Rehydration) Process",$25.82,150,$3.44,$1.89,EMEA,United Kingdom,Complex Melon Jasmine,"Complex, Tea Like, Floral, Tropical Fruit",https://obadiahcoffee.com/products/aquiares-estate,NO
9/21/2024,6934,Mel Coffee Roasters,100g Colombia La Maria Geisha Natural,"Single Origin, Single Varietal, Traceable",Filter,Colombia,Cundinamarca,La Maria,1660 - 1750,Geisha,Natural,"Natural, Hand Sorted, Floated, Dried on Raised Beds",$61.97,100,$12.39,$12.39,APAC,Japan,-,-,https://melcoffee.shop/items/65b0c37c9ad1d5002f6d6552,YES
9/21/2024,6933,Mel Coffee Roasters,100g Panama Janson Geisha Natural Los Alpes Lot 274,"Single Origin, Single Varietal, Traceable, Cupping Score",Filter,Panama,"Volcán, Chiriquí","Carl Axel Janson, Janson Family Coffee, Los Alpes",1350 - 1700,Geisha,Natural,Natural,$132.30,100,$26.46,$26.46,APAC,Japan,"Hite Flowers, Cherries, Floral And It Is Juicy","Berries, Floral",https://melcoffee.shop/items/66162e78e70d970746f77d11,YES
9/21/2024,6932,Mel Coffee Roasters,100g Panama Finca Maya Geisha Washed,"Single Origin, Single Varietal, Traceable",Filter,Panama,Jaramillo,Finca MAYA,1500 - 1650,Geisha,Washed,Washed,$167.11,100,$33.42,$33.42,APAC,Japan,-,-,https://melcoffee.shop/items/66162fa99ecd34002b196512,YES
9/21/2024,6931,Mel Coffee Roasters,200g Ethiopia Worka - Natural,"Single Origin, Traceable",Filter,Ethiopia,-,Worka Sacaro,1900 - 2100,Ethiopian Heirlooms,Natural,Natural,$18.80,200,$1.88,$1.48,APAC,Japan,"Sweet, Juicy Flavor That Makes You Feel The Ripeness Of The Cherries, And A Mellow Mouthfeel","Berries, Creamy, Sweet, Fermented",https://melcoffee.shop/items/657a77544f4ab6002c5a060d,YES
9/21/2024,6930,Luminous Coffee,ECUADOR TYPICA MEJORADO DOUBLE WASHED FERMENTATION,"Single Origin, Single Varietal, Traceable, Cost Transparent",Filter,Ecuador,"El Chaco, Napo, Cascabel","Leopoldo Andrade, La Josefina Estate",1200 - 2000,Typica Mejorado ,Double Washed,"Multi-Stage Fermentation, Washed",$26.00,200,$2.60,$2.20,NA,USA,Floral - Toffee - Grape - Tamarind,"Common Fruit, Caramel, Citrus Fruit, Tropical Fruit, Floral",https://www.loveluminous.coffee/drop-store/p/ecuadornatural-wbwbt,YES
9/21/2024,6929,Loquat Coffee,SEASONAL BLEND: FALL,"Roaster Blend, Cost Transparent",-,"Guatemala, Ethiopia",-,-,-,-,-,-,$19.00,283,$1.34,$0.92,NA,USA,"Maple Syrup, Blackberry, Sauvignon Blanc, Jasmine","Berries, Common Fruit, Fermented, Sweet, Tea Like, Floral",https://www.loquatcoffee.com/product/seasonal-blend-fall/428?cs=true&cst=custom,YES
9/21/2024,6928,Loquat Coffee,ETHIOPIA BANKO GOTITI PREMIUM G1 NATURAL,"Single Origin, Traceable, Cost Transparent",-,Ethiopia,"Gedeb, Yirgacheffe","Faysel Abdosh & Hakime Yonis, Testi Coffee, Banko Gotiti Station","2,050.00",Ethiopian Landraces,Natural,Natural,$23.00,250,$1.84,$1.84,NA,USA,"Green Grape, Elderflower, Lavender, Lemonade, Crisp","Common Fruit, Citrus Fruit, Sweet, Floral",https://www.loquatcoffee.com/product/ethiopia-banko-gotiti-premium-g1-natural/774?cs=true&cst=custom,YES
9/21/2024,6927,Loquat Coffee,FINCA DEBORAH ILLUMINATION GEISHA CARBONIC MACERATION WASHED,"Single Origin, Single Varietal, Traceable, Cost Transparent",-,Panama,"Volcán, Chiriquí","Jamison Savage, Finca Deborah","2,000.00",Geisha,Carbonic Maceration Washed,"Washed, Carbonic Maceration",$34.00,60,$11.33,$11.33,NA,USA,"Bergamot, Jasmine, Grapefruit, Mango, Silky","Citrus Fruit, Creamy, Tea Like, Floral, Tropical Fruit, Stone Fruit",https://www.loquatcoffee.com/product/finca-deborah-illumination-geisha-carbonic-maceration-washed/775?cs=true&cst=custom,YES
9/21/2024,6926,Intelligentsia,Otoño Blend,Roaster Blend,Filter,"Costa Rica, Ethiopia, Kenya",-,-,-,"Caturra, Catuai, Sl28, Sl34, Ruiru, Batian",-,-,$27.00,340,$1.59,$1.40,NA,USA,"Tangerine, Fig, Persimmon","Common Fruit, Citrus Fruit, Tropical Fruit",https://www.intelligentsia.com/products/otono-blend,YES
9/21/2024,6925,Ignis Coffee,タンザニア / MWALYEGO,"Single Origin, Single Varietal",-,Tanzania,-,-,-,Bourbon,Washed,Washed,$17.41,200,$1.74,$1.74,APAC,Japan,"Earl Grey, Lemon Tea, Orange","Citrus Fruit, Tea Like, Tropical Fruit",https://igniscoffee.stores.jp/items/66ea3ddc427a8807f62f23d0,YES
